13DAMPPOX	1	1
24_25VITD2Hm	1	1
24_25VITD3Hm	1	1
25VITD2Hm	1	1
25VITD3Hm	1	1
2AMACHYD	1	1
2AMACSULT	1	1
2HBO	1	1
34DHOXPEGOX	1	1
34DHPHAMT	1	1
34DHPLACOX	1	1
34DHPLACOX_NADP_	1	1
34DHXMANDACOX	1	1
34DHXMANDACOX_NADP_	1	1
34HPPOR	1	1
3AIBTm	1	1
3DSPHR	1	1
3HAO	1	1
3HBCDm	1	1
3HKYNAKGAT	1	1
3HLYTCL	1	1
3HPCOAHYD	1	1
3HXKYNDCL	1	1
3HXKYNOXDA	1	1
3M4HDXPAC	1	1
3MOX4HOXPGALDOX	1	1
3MOX4HOXPGALDOX_NADP_	1	1
3MOXTYROX	1	1
3NTD7l	1	1
3SALACBOXL	1	1
3SALATAi	1	1
3SALATAim	1	1
41R2A1H12BOOX	1	1
42A12BOOX	1	1
4HGLSDm	1	1
4HOXPACDOX_NADP_	1	1
4NPHSULT	1	1
5ADTSTSTERONESULT	1	1
5HLTDL	1	1
5HOXINDACTO2OX	1	1
5HOXINDACTOXm	1	1
5HOXINOXDA	1	1
5HTRPDOX	1	1
5HXKYNDCL	1	1
5HXKYNOXDA	1	1
AACTOOR	1	1
AATAi	1	1
ABO1g	1	1
ABO2g	1	1
ABO3g	1	1
ABO4g	1	1
ABO5g	1	1
ABO6g	1	1
ABO9g	1	1
ABTArm	1	1
ACACT10m	1	1
ACACT1rm	1	1
ACACT1x	1	1
ACACT4p	1	1
ACACT5p	1	1
ACACT6p	1	1
ACACT7p	1	1
ACACT8p	1	1
ACACT9p	1	1
ACCOACm	1	1
ACCOALm	1	1
ACGAM6PSi	1	1
ACGAMK	1	1
ACGAMPM	1	1
ACGPID	1	1
ACGSm	1	1
ACHEe	1	1
ACITL	1	1
ACNAMPH	1	1
ACOAD10m	1	1
ACOAD1fm	1	1
ACOAD8m	1	1
ACOAD9m	1	1
ACOAHi	1	1
ACOAO7p	1	1
ACODA	1	1
ACONTm	1	1
ACOX22x	1	1
ACOX2x	1	1
ACP1_FMN_	1	1
ACS2	1	1
ACSm	1	1
ACSOMT	1	1
ACSRTNMT	1	1
ACTLMO	1	1
ACTNMO	1	1
ADA	1	1
ADAe	1	1
ADK3	1	1
ADK3m	1	1
ADMDC	1	1
ADNCYC	1	1
ADRNCPT1	1	1
ADRNCPT2	1	1
ADRNCRNt	1	1
ADSELK	1	1
ADSK	1	1
AGPRim	1	1
AGTim	1	1
AGTix	1	1
AIRCr	1	1
AKR1C1	1	1
AKR1C41	1	1
AKR1C42	1	1
AKR1D	1	1
AKR1D2	1	1
ALASm	1	1
ALATA_L	1	1
ALCD21_D	1	1
ALCD21_L	1	1
ALCD22_D	1	1
ALCD22_L	1	1
ALCD2if	1	1
ALCD2yf	1	1
ALDD20x	1	1
ALDD20xm	1	1
ALDD21	1	1
ALKP	1	1
ALOX12	1	1
ALOX12R	1	1
ALOX15	1	1
ALOX5	1	1
ALOX52	1	1
ALR2	1	1
ALR3	1	1
AMACR2p	1	1
AMACR2r	1	1
AMACRp	1	1
AMACRr	1	1
AMPDA	1	1
APAT2rm	1	1
APRTO2	1	1
ARABR	1	1
ARACHCPT1	1	1
ARACHCPT2	1	1
ARACHCRNt	1	1
ARGDCm	1	1
ASNNm	1	1
ASPTAm	1	1
ATPH1e	1	1
ATPH2e	1	1
B3GALT3g	1	1
B3GALT41g	1	1
B3GALT42g	1	1
B3GALT43g	1	1
B3GALT5g	1	1
B3GNT310g	1	1
B3GNT311g	1	1
B3GNT314g	1	1
BAAT1x	1	1
BAAT2x	1	1
BAAT3x	1	1
BAAT4x	1	1
BAMPPALDOX	1	1
BAMPPALDOXm	1	1
BCDO	1	1
BDHm	1	1
BILIRED	1	1
BPNT2	1	1
BUP2	1	1
C14STRr	1	1
C160CPT1	1	1
C160CPT2	1	1
C160CRNt	1	1
C161CPT1	1	1
C161CPT12	1	1
