Tumor	0.6156981193	1.5583125635	580.1871947911	0.0000319622	1.7841079199	135.2264566794	0.0175421335	0.1435394013	
Tumor.1	0.2601064742	2.1564460616	218.5617497358	0.0000273026	5.1967798912	210.5426640197	0.0111556466	0.0971664259	
Normal	3.7520599593	0.4111616637	57.6452090964	0.0004446642	0.3240492885	366.3334598480	0.0320213385	0.0599812350	
Tumor.2	0.8228640322	0.9133794554	600.8793518232	0.0000356147	1.1694404967	487.6357942319	0.0094073647	0.1429805691	
Tumor.3	0.4218032385	1.6526123089	142.0604698854	0.0000918176	2.3673281779	119.7144720057	0.0326440443	0.0746746323	
Normal.1	2.3856215800	0.3361449580	205.7464386381	0.0001236345	0.5958796305	218.5292591965	0.0296616526	0.0867414762	
Tumor.4	1.5207367469	0.7415659073	542.4674485403	0.0000526240	0.8847152392	533.2939033885	0.0102453383	0.0876265209	
Tumor.5	0.3910953491	2.2630032592	727.0053466583	0.0000342123	1.4565952594	132.6762526627	0.0205949128	0.1019954129	
Tumor.6	0.8715382783	0.9348737049	510.0431256334	0.0000256147	2.0027679002	328.5662427092	0.0080275219	0.1397031685	
Tumor.7	0.9216191784	0.8677489425	689.6908992085	0.0000265916	2.1605863961	233.0753509616	0.0139901742	0.0851161176	
Normal.2	2.2478632124	0.2052426183	569.9234538911	0.0001081103	1.0002207105	225.9134992400	0.0155066395	0.1171795560	
Tumor.8	0.0950242612	8.2939773542	1760.2317536497	0.0000057958	3.9571641461	491.3848190700	0.0013018751	0.1384610897	
Normal.3	3.1251618609	0.3416610511	389.7174488702	0.0001211000	0.4045538671	255.6643359781	0.0275921344	0.0823811649	
Tumor.9	2.0514638517	0.7848259952	1364.4723049105	0.0000259541	0.3501210920	669.1240736304	0.0167015066	0.0791768293	
Tumor.10	0.2515901039	0.8292762408	895.5766525134	0.0000054644	6.2358105038	532.6408606089	0.0025685559	0.1462557963	
Tumor.11	1.0325071654	1.6983052846	678.5377765577	0.0000194433	0.7031037207	620.5254728530	0.0192410136	0.0473989293	
Tumor.12	0.9488019224	0.5678580557	810.6464623452	0.0000494620	1.3798531358	260.9682642338	0.0084577274	0.0971114937	
Tumor.13	2.4951766280	0.2009323334	53.0728579833	0.0000962069	0.2518673834	9244.4458634664	0.0018403366	0.1035819389	
Tumor.14	0.3780262873	1.3497323860	706.1397775990	0.0000416308	0.9727253669	234.4357263766	0.0164370462	0.1735957481	
Tumor.15	1.1798794441	1.1015895436	756.3652806047	0.0000378168	1.3059586174	215.2008487557	0.0091688230	0.0959207468	
Tumor.16	0.7304310689	1.8297291944	739.3983672430	0.0000320413	0.7889074125	176.9164027151	0.0318654476	0.1736637273	
Tumor.17	0.2765411872	2.6465584386	1160.4578822554	0.0000179980	3.1732141363	581.3039406025	0.0009831366	0.1822018377	
Tumor.18	0.4987755061	0.7558990917	778.1878941369	0.0000270583	1.8098564159	371.1641149222	0.0112002896	0.1038290479	
Tumor.19	0.8151107792	7.3312890913	771.4297401954	0.0000126325	0.7752593820	244.0061717481	0.0146699951	0.2015563551	
Tumor.20	0.5137846111	5.0874470270	104.2905408747	0.0000265844	2.5586681705	235.1451365552	0.0256111747	0.1792531670	
Tumor.21	1.2358530250	1.1119312065	1213.6571693632	0.0000265002	0.6385515064	758.2885439256	0.0071686271	0.0886034274	
Tumor.22	1.3219126982	0.4977493549	378.2463662716	0.0000982952	1.3324439776	113.3228297405	0.0194462146	0.0956629472	
Tumor.23	0.7553857581	0.7199861798	1464.8193984309	0.0000289100	0.5713683551	538.0963038893	0.0091192877	0.0943132319	
Tumor.24	1.0396285806	1.3737903612	1052.7185840507	0.0000179749	1.1483090978	288.9591163921	0.0192039349	0.0899013635	
Tumor.25	0.6760271494	1.6083031624	481.7827501962	0.0000129674	3.4279613132	233.3514948141	0.0205117208	0.0857477373	
Tumor.26	0.2431094565	2.3805978116	386.6101516320	0.0000344840	0.8796858083	185.0232826040	0.0229339475	0.1283642766	
Tumor.27	0.3905881650	1.1149205114	1583.7375816465	0.0000121667	1.4499594633	788.8190105486	0.0029323518	0.1556443881	
Tumor.28	0.2613186330	1.0873494723	1475.6776309560	0.0000118055	7.6323361650	384.6845357102	0.0016822700	0.2543834489	
Tumor.29	0.7812359068	0.7945338883	558.6966347513	0.0000304654	1.9268367710	255.1839658182	0.0153899839	0.0560240312	
Tumor.30	0.9455368683	0.6936141595	623.0328493049	0.0000290566	1.3439618002	167.8927915392	0.0189844041	0.0709056493	
Tumor.31	0.3278074965	2.1950764740	829.3426887454	0.0000127488	2.5691083753	314.8622459655	0.0078923731	0.1307687603	
Tumor.32	0.9755029902	0.9563344327	664.3834189346	0.0000501952	0.7707517021	356.9046451142	0.0132621804	0.1883033212	
Tumor.33	0.6445826264	3.1617277317	442.0122391923	0.0000625036	0.8797790997	108.3401093856	0.0171504411	0.1322472058	
Tumor.34	0.8497849119	0.6130059529	2524.8772596864	0.0000142920	2.1929293935	249.3946579930	0.0089524207	0.1843305779	
Tumor.35	0.4688230993	1.6129255568	378.7976904475	0.0000834047	3.0717568898	188.8593821794	0.0025896283	0.2713046416	
Tumor.36	1.0059118814	1.0807417735	973.0549233917	0.0000209979	1.2786443428	534.4039791882	0.0065599581	0.0949299693	
Tumor.37	0.6259142302	1.3225331540	646.6122101849	0.0000502022	1.0985568646	238.9182956353	0.0190608981	0.1675149289	
Tumor.38	0.9831613038	0.5204500353	1491.7772125106	0.0000152767	3.2408885069	430.1938830174	0.0058700075	0.1032627979	
Tumor.39	0.3677189265	4.2013232038	78.3073489529	0.0000719782	1.0179010913	179.7429881286	0.0445096938	0.0791307260	
Tumor.40	0.8080939689	0.6256599664	233.6281875249	0.0001083876	1.4083812583	423.2743227092	0.0082275057	0.0758628155	
Tumor.41	3.0876909425	0.5327343933	1185.9535603884	0.0000458300	0.4055131566	228.6824046904	0.0252132797	0.1408316835	
Tumor.42	0.6626836988	0.5599053082	97.8353514300	0.0005982380	0.3952462785	313.5708315963	0.0046502891	0.2304282490	
Tumor.43	0.6870973865	1.3355834583	583.1432510769	0.0000194045	1.4151023184	818.1608300561	0.0162018875	0.0385483246	
Normal.4	2.3829216683	0.3806810805	325.2943908882	0.0001008818	0.7590023792	243.3447383859	0.0227253534	0.0615217335	
Tumor.44	0.7556413712	1.3726067847	377.2620986729	0.0000229277	1.8449085169	330.2874108410	0.0060887751	0.3268846120	
Tumor.45	0.1875854387	0.8287926861	62.1376449451	0.0001578567	1.3374797568	2667.2985414198	0.0030923958	0.1369418802	
Tumor.46	0.8285378917	2.7127424950	591.8327468304	0.0000314497	0.5607415848	513.6745211132	0.0195233838	0.1743723531	
Tumor.47	1.5415260733	1.0463808476	968.4060270070	0.0000407165	0.2830837668	407.4124067904	0.0168656849	0.0959097498	
Tumor.48	0.5176957523	1.0702571809	753.0826489292	0.0000718215	0.4066081831	495.0490000167	0.0111662547	0.1143885404	
Tumor.49	0.5008674241	0.4591349806	228.9378493700	0.0000912856	2.9984047432	226.6060718314	0.0128840860	0.1006362935	
Tumor.50	1.5936655748	0.6468595436	640.4067621870	0.0000476617	0.7299529124	539.2304868234	0.0118518548	0.0889429910	
Tumor.51	0.4620245853	0.5234113775	657.5687350049	0.0000603574	1.0380769551	233.5831445455	0.0120648625	0.1824346842	
Normal.5	2.1910831193	0.2966752012	579.6968008321	0.0000717394	1.8060407123	170.2956870423	0.0121221372	0.1260153878	
Tumor.52	0.4223242097	4.4554896344	380.4600524616	0.0000505399	2.0770257902	106.5873720289	0.0084940841	0.0697023357	
