nadp
nad
fad
q10
atp
atp
adp
utp
utp
udp
ctp
ctp
cdp
gtp
gtp
gdp
itp
itp
idp
xtp
xtp
xdp
ditp
ditp
didp
datp
datp
dadp
dctp
dctp
dcdp
dgtp
dgtp
dgdp
dttp
dttp
dtdp
gthrd
pap
glu_L
ala_L
cmpacna
udpglcur
udpgal
udpacgal
gdpfuc
amet
mlthf
10fthf
crn
R-coa
coa
