nadph
nadh
fadh2
q10h2
adp
amp
amp
udp
ump
ump
cdp
cmp
cmp
gdp
gmp
gmp
idp
imp
imp
xdp
xmp
xmp
didp
dimp
dimp
dadp
damp
damp
dcdp
dcmp
dcmp
dgdp
dgmp
dgmp
dtdp
dtmp
dtmp
gthox
paps
akg
pyr
cmp
udp
udp
udp
gdp
ahcys
thf
thf
coa
coa
R-coa
